API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Tue Sep  1 12:09:11 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2041-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2045-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260831.p261127
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-AUG-31. PREDICTS-> 2026-NOV-26
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2466520.500000000, A.D. 2041-Jan-01 00:00:00.0000, -9.141199625178931E+04, -3.197278147994506E+05, -1.521768584439838E+05,  1.052300682673494E+00, -1.596873712285974E-01, -1.641075506097913E-01,
2466521.500000000, A.D. 2041-Jan-02 00:00:00.0000,  1.433110293322093E+03, -3.235599329949474E+05, -1.615271043101293E+05,  1.085801721190794E+00,  7.272296645221155E-02, -5.057197460931212E-02,
2466522.500000000, A.D. 2041-Jan-03 00:00:00.0000,  9.422526721654211E+04, -3.071138193641047E+05, -1.607324597225494E+05,  1.050463762758552E+00,  3.067126527374497E-01,  6.927285534987228E-02,
2466523.500000000, A.D. 2041-Jan-04 00:00:00.0000,  1.809645415377488E+05, -2.710482443188850E+05, -1.496418225827220E+05,  9.463348441384617E-01,  5.237847566406302E-01,  1.861609310065850E-01,
2466524.500000000, A.D. 2041-Jan-05 00:00:00.0000,  2.559842494825260E+05, -2.175970292323049E+05, -1.289194855254693E+05,  7.810475451123883E-01,  7.065081916164720E-01,  2.907520693075424E-01,
2466525.500000000, A.D. 2041-Jan-06 00:00:00.0000,  3.145684053575628E+05, -1.503458113405371E+05, -9.998287515639908E+04,  5.686223332337362E-01,  8.414370619200254E-01,  3.751888868882775E-01,
2466526.500000000, A.D. 2041-Jan-07 00:00:00.0000,  3.533941875145506E+05, -7.380120797014931E+04, -6.482236169728818E+04,  3.267710420844769E-01,  9.208549318573953E-01,  4.341860686337686E-01,
2466527.500000000, A.D. 2041-Jan-08 00:00:00.0000,  3.707175217309218E+05,  7.121526591486751E+03, -2.575965673543535E+04,  7.385421218600387E-02,  9.429209797952524E-01,  4.653479137285487E-01,
2466528.500000000, A.D. 2041-Jan-09 00:00:00.0000,  3.663203211319032E+05,  8.756601124158535E+04,  1.479051302910049E+04, -1.734655135255085E-01,  9.105972636354999E-01,  4.688203298709102E-01,
