API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Aug 23 14:44:05 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: International Space Station (spacecraft) (-125544) {source: iss}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Aug-24 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Aug-27 00:00:00.0000 TDB
Step-size       : 2 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260821.p261117
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-AUG-21. PREDICTS-> 2026-NOV-16
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461276.500000000, A.D. 2026-Aug-24 00:00:00.0000,  2.857666372961883E+03,  3.129602989701679E+03,  5.297069390656111E+03, -6.004479639203672E+00,  4.751487545907592E+00,  4.321011058255676E-01,
2461276.501388889, A.D. 2026-Aug-24 00:02:00.0000,  2.113176693145680E+03,  3.669399002187298E+03,  5.300146737185090E+03, -6.384739204710364E+00,  4.231386914773886E+00, -3.808814899235385E-01,
2461276.502777778, A.D. 2026-Aug-24 00:04:00.0000,  1.330009358931400E+03,  4.142035387970349E+03,  5.205939729438181E+03, -6.648125871279466E+00,  3.633865235348677E+00, -1.186835744901369E+00,
2461276.504166667, A.D. 2026-Aug-24 00:06:00.0000,  5.224989863755696E+02,  4.538863615034118E+03,  5.016180040113666E+03, -6.789834871357421E+00,  2.969840430804657E+00, -1.970998781331185E+00,
2461276.505555556, A.D. 2026-Aug-24 00:08:00.0000, -2.945752948044438E+02,  4.852620274436569E+03,  4.734350010324959E+03, -6.807274914462751E+00,  2.251447269147807E+00, -2.718998074247185E+00,
2461276.506944444, A.D. 2026-Aug-24 00:10:00.0000, -1.106258954746251E+03,  5.077560547824845E+03,  4.365620303384865E+03, -6.700120928979104E+00,  1.491824644691091E+00, -3.417109593854490E+00,
2461276.508333333, A.D. 2026-Aug-24 00:12:00.0000, -1.897695318455582E+03,  5.209564961087575E+03,  3.916756985256749E+03, -6.470329617989080E+00,  7.048830767525539E-01, -4.052508660523160E+00,
2461276.509722222, A.D. 2026-Aug-24 00:14:00.0000, -2.654398356764428E+03,  5.246217163290828E+03,  3.395999124833936E+03, -6.122115406226087E+00, -9.494545064547009E-02, -4.613509506209129E+00,
2461276.511111111, A.D. 2026-Aug-24 00:16:00.0000, -3.362520115011493E+03,  5.186850776366809E+03,  2.812908545075124E+03, -5.661884513876722E+00, -8.929722182343202E-01, -5.089788662582792E+00,
